Course,Day,Time,Room,Teacher,Duration
SS111,Monday,11:00,C309,Subhan Ullah,1 hour(s)
CS211,Monday,12:00,C303,Muhammad bin Qasim,1 hour(s)
SS113,Monday,14:00,C305,Umair Arshad,1 hour(s)
MG220,Monday,14:00,C310,Sumera Abbas,1 hour(s)
SS118,Monday,16:00,C302,Tayyaba Zainab,1 hour(s)
SE110,Tuesday,10:00,C302,Kashif Munir,1 hour(s)
AI2011,Tuesday,11:00,C310,Ejaz Ahmed,1 hour(s)
MT224,Tuesday,11:00,C305,Muhammad bin Qasim,1 hour(s)
CS118,Tuesday,13:00,C309,Hassan Raza,1 hour(s)
DS3011,Tuesday,13:00,C307,Zainab Moin,1 hour(s)
MG223,Tuesday,15:00,C310,Sadia Nauman,1 hour(s)
CS302,Wednesday,9:00,C308,Subhan Ullah,1 hour(s)
EE227,Wednesday,11:00,C310,Behjat Zuhaira,1 hour(s)
CY2012,Wednesday,12:00,C306,Mehboobullah,1 hour(s)
CS217,Wednesday,13:00,C307,Sehrish Hassan,1 hour(s)
CS307,Thursday,11:00,C304,Shafaq Riaz,1 hour(s)
CS219,Thursday,12:00,C306,Nagina Safdar,1 hour(s)
CS220,Thursday,12:00,C303,Sajid Khan,1 hour(s)
EE229,Thursday,14:00,C309,Gul e Aisha,1 hour(s)
SS152,Thursday,16:00,C310,Maimoona Rassol,1 hour(s)
MT205,Thursday,16:00,C304,Irum Inayat,1 hour(s)
CS218,Friday,9:00,C307,Rohail Gulbaz,1 hour(s)
CS328,Friday,16:00,C309,Zainab Abaid,1 hour(s)
